股票代码,股票名称,2025年累计分红,2025-11-28收盘价,股息率(%)
sh.600993,马应龙,0.62,27.44,2.26
sh.600995,南网储能,0.1185,12.44,0.95
sh.600996,贵广网络,0.0,12.11,0.0
sh.600997,开滦股份,0.26,6.2,4.19
sh.600998,九州通,0.2,4.9,4.08
sh.600999,招商证券,0.496,16.29,3.04
sh.601000,唐山港,0.2,3.84,5.21
sh.601001,晋控煤业,0.755,14.2,5.32
sh.601002,晋亿实业,0.1,5.05,1.98
sh.601003,柳钢股份,0.0,4.99,0.0
sh.601005,重庆钢铁,0.0,1.45,0.0
sh.601006,大秦铁路,0.22,5.48,4.01
sh.601007,金陵饭店,0.07,7.79,0.9
sh.601008,连云港,0.06,5.27,1.14
sh.601009,南京银行,0.5055,11.57,4.37
sh.601010,文峰股份,0.105,2.97,3.54
sh.601011,宝泰隆,0.0,3.69,0.0
